      GNAM                 PYHP      PTHD      PTHU  GZLMt/ha      GZIN GZWIkg/hd GZWMkg/hd PMLKkg/hd      ANTQ IGZD IMPL ICVB ICVF ICWD
    1 CATTLE                .15        .4       .95       .01      .026      454.      454.        9.        0.    1    0    0    0   99
    2 SHEEP                 .15        .4       .95       .01       .03       91.       91.        2.        .3    5    0    0    0  129
    3 GOATS                 .15        .4       .95       .05       .04       68.       68.        3.        .5    6    0    0    0  159
    4 COW_CALF              .15        .4       .95       .05      .026      454.      454.        9.        0.    4    0   60   90  315
    5 CATTLE                .15        .4       .95       .05      .026      360.      454.        9.        0.    4    0   60   90  315
    6 STEERS                .15        .4       .95        1.      .026      320.      454.        0.        0.    3    1    0    0  229              
    7 CALVES                .15        .4       .95        .5      .026      130.      454.        0.        0.    3    1    0    0   50            
    8 COW_HIGH              .15        .4       .95       .75      .026      454.      454.        9.        0.    1    0    0    0   99
    
