 CROP            1       2       3       4       5       6       7       8       9      10      11      12      13      14      15      16      17      18      19      20      21      22      23      24      25      26      27      28      29      30      31      32      33      34      35      36      37      38      39      40      41      42      43      44      45      46      47      48      49      50      51      52      53      54      55      56      57      58      59      60      61      62      63      64      65      66      67      68      69      70  
   #  NAME      WA      HI     TOP     TBS    DMLA    DLAI   DLAP1   DLAP2    RLAD    RBMD     ALT     GSI     CAF     SDW     HMX    RDMX    WAC2     CNY     CPY     CKY    WSYF     PST    COSD    PRYG    PRYF     WCY     BN1     BN2     BN3     BP1     BP2     BP3     BK1     BK2     BK3     BW1     BW2     BW3     IDC   FRST1   FRST2    WAVP    VPTH    VPD2   RWPC1   RWPC2    GMHU   PPLP1   PPLP2    STX1    STX2    BLG1    BLG2     WUB     FTO     FLT    CCEM    IPDU    TDNX    TDNN    ANQX    ANQN   INDET   RDECA    TRE1    TRE2    LAYR    WDRM    EXTC    GPAL
  154 WWEA   18.00    0.02   15.00    3.00    2.50    0.65    5.01   50.95    0.10    0.10    4.00  0.0083    0.85    5.00    0.60    1.50  660.45  0.0151  0.0024  0.0111    0.01    0.60    0.69   20.00    5.00    0.10  0.0300  0.0200  0.0120  0.0020  0.0015  0.0013  0.0230  0.0230  0.0230   3.390   3.390   3.390      6.    5.01   15.10    8.00    0.50    4.75    0.90    0.50  100.00    4.20   50.95    0.07    6.00    0.06    0.15    0.00    0.00    0.00    0.30    1.00   75.00   50.00    0.00    0.00    0.00  0.0015    0.00    0.00    0.00    0.00    0.00       0   35.WESTERN WHEAT GR
  155 GRMA   14.00    0.15   25.00    8.00    1.50    0.65    5.01   50.95    0.10    0.10    2.00  0.0074    0.85    6.00    0.30    0.70  660.21  0.0131  0.0010  0.0120    0.08    0.60    2.20    0.00    0.00    0.10  0.0300  0.0131  0.0086  0.0018  0.0010  0.0008  0.0268  0.0153  0.0115   3.390   3.390   3.390      6.    1.90    5.99    2.00    1.00    4.75    0.90    0.50  100.00    4.20   90.95    0.00    0.00    0.05    0.10    0.00    0.00    0.00    0.30    1.00   75.00   50.00    0.00    0.00    0.00  0.0015    0.00    0.00    0.00    0.00    0.00       0   35.GRAMAGRASS      
  156 BUFF   14.00    0.15   25.00   10.00    1.50    0.65    5.01   50.95    0.10    0.10    2.00  0.0074    0.85    6.00    0.20    0.80  660.21  0.0131  0.0010  0.0120    0.08    0.60    2.20    0.00    0.00    0.10  0.0300  0.0157  0.0091  0.0018  0.0010  0.0008  0.0268  0.0153  0.0115   3.390   3.390   3.390      6.    1.90    5.99    4.00    1.00    4.75    0.90    0.60  100.00    1.02   40.90    0.00    0.00    0.05    0.10    0.00    0.00    0.00    0.30    1.00   75.00   50.00    0.00    0.00    0.00  0.0015    0.00    0.00    0.00    0.00    0.00       0   35.BUFFALO GRASS   
  157 ARVN   25.00    0.05   12.00    0.00    2.00    0.65    5.30   40.95    1.00    0.10    2.00  0.0070    0.85   90.00    0.50    0.50  660.47  0.0249  0.0033  0.0042    0.21    0.60    0.26  153.62   20.00    0.12  0.0400  0.0230  0.0134  0.0084  0.0032  0.0019  0.0230  0.0200  0.0170   3.390   3.390   1.610      5.    5.01   15.10    6.00    0.50    4.75    0.60    0.30  100.00    1.02   50.90    0.07    6.00    0.01    0.10    0.00    0.00    0.00    0.11    1.00   75.00   50.00    0.00    0.00    0.00  0.0015    0.00    0.00    0.00    0.00    0.00       0   BROMUS ARVENSIS/JAP
  165 RAGW   15.00    0.10   17.00   10.00    1.50    0.85    5.01   80.95    1.00    0.10    3.00  0.0070    0.85    8.00    0.30    1.50  660.66  0.0287  0.0056  0.0071    0.27    0.60    8.71  271.22    5.00    0.06  0.0300  0.0250  0.0146  0.0029  0.0023  0.0012  0.0290  0.0250  0.0200   3.390   3.390   1.610      6.    5.15   15.95    7.00    0.50    4.75    0.90    0.30  100.00    2.60    6.95    0.05    7.70    0.01    0.10    0.00    0.00    0.00    0.30    0.00   83.00   75.00    0.20    0.50    0.00  0.0015    0.00    0.00    0.00    0.00    0.00       0   RAGWEED.  COPIED FR
  175 INDE   18.00    0.02   15.00    3.00    2.50    0.65    5.01   50.95    0.10    0.10    4.00  0.0083    0.85    5.00    0.60    1.50  660.45  0.0151  0.0024  0.0111    0.01    0.60    0.69   20.00    5.00    0.10  0.0300  0.0200  0.0120  0.0020  0.0015  0.0013  0.0230  0.0230  0.0230   3.390   3.390   3.390      6.    5.01   15.10    8.00    0.50    4.75    0.90    0.50  100.00    4.20   50.95    0.07    6.00    0.06    0.15    0.00    0.00    0.00    0.30    1.00   75.00   50.00    0.00    0.00    0.30  0.0015    0.00    0.00    0.00    0.00    0.00       0   imaginary indeterminate western wheatgrass
  176 GRMA   14.00    0.15   25.00    8.00    1.50    0.45    5.01   50.95    0.10    0.10    2.00  0.0074    0.85    6.00    0.30    0.70  660.21  0.0131  0.0010  0.0120    0.08    0.60    2.20    0.00    0.00    0.10  0.0300  0.0131  0.0086  0.0018  0.0010  0.0008  0.0268  0.0153  0.0115   3.390   3.390   3.390      6.    1.90    5.99    2.00    1.00    4.75    0.90    0.50  100.00    4.20   90.95    0.00    0.00    0.05    0.10    0.00    0.00    0.00    0.30    1.00   75.00   50.00    0.00    0.00    0.60  0.0015    0.00    0.00    0.00    0.00    0.00       0   gramagrass modified to be indeterminate     
  200 MESC   60.00    0.05   30.00   10.00    4.00    0.99    5.05   50.80    1.00    1.00    5.00  0.0070    0.85   80.00    6.00   10.00  660.14  0.0015  0.0003  0.0020    0.05    0.60    6.72 1000.00    5.00    0.01  0.0200  0.0100  0.0080  0.0007  0.0004  0.0003  0.0060  0.0030  0.0020   3.390   3.390   3.390     10.    5.10   15.50    8.00    1.00    4.75    0.80    0.80  100.00  500.90   20.10    0.05    1.00    0.01    0.10    0.00    0.10    0.00    0.30    0.00    0.00    0.00    0.70    0.50    0.00  0.0015    0.00    0.00    0.00    0.00    0.00     0.0   100.MESQUITE TREES 

